molecule_chembl_id,canonical_smiles,standard_value
CHEMBL1160877,O=C(O)C(F)(F)F.Oc1nc2ccc(N3C[C@H]4C[C@@H]3CN4)nc2c2ccccc12,42.0
CHEMBL82342,Oc1nc2ccncc2c2ccccc12,128.0
CHEMBL323384,CC(C)(C)OC(=O)N1C[C@H]2C[C@@H]1CN2c1ccc2nc(O)c3ccccc3c2n1,774.0
CHEMBL107709,Oc1nc2ccc(NCCN3CCOCC3)nc2c2ccccc12,339.0
CHEMBL543157,CN(C)CC(=O)Nc1ccc2nc(O)c3ccccc3c2n1.Cl,98.0
CHEMBL542927,Cl.O=C(CN1CCCCC1)Nc1ccc2nc(O)c3ccccc3c2n1,150.0
CHEMBL1140,NC(=O)c1cccnc1,210000.0
CHEMBL320031,O=c1[nH]c2cccnc2c2ccccc12,116.0
CHEMBL108106,CCN(CC)CCNc1ccc2nc(O)c3ccccc3c2n1,173.0
CHEMBL545507,Cl.O=C(CN1CCC(N2CCCC2)CC1)Nc1ccc2nc(O)c3ccccc3c2n1,142.0
CHEMBL542692,Cl.O=C(CN1CCC(N2CCCC2)CC1)Nc1cnc2c(c1)nc(O)c1ccccc12,134.0
CHEMBL107284,CS(=O)(=O)O.Oc1nc2ccc(N3CCNCC3)nc2c2ccccc12,58.0
CHEMBL109064,Oc1nc2ccccc2c2ncccc12,2900.0
CHEMBL106298,C[N+]1([O-])CCN(c2ccc3nc(O)c4ccccc4c3n2)CC1,247.0
CHEMBL106734,Nc1ccc2nc(O)c3ccccc3c2n1,209.0
CHEMBL107659,CN1C[C@H]2C[C@@H]1CN2c1ccc2nc(O)c3ccccc3c2n1.CS(=O)(=O)O,51.0
CHEMBL110381,Oc1nc2ncccc2c2ccccc12,311.0
CHEMBL543393,CC(C)N1CCN(CC(=O)Nc2ccc3nc(O)c4ccccc4c3n2)CC1.Cl,277.0
CHEMBL108431,CS(=O)(=O)O.Oc1nc2ccc(N3CCN(CC4CC4)CC3)nc2c2ccccc12,71.0
CHEMBL106154,Nc1cnc2c(c1)[nH]c(=O)c1ccccc12,180.0
CHEMBL543159,Cl.O=C(CN1CCCCC1)Nc1cnc2c(c1)nc(O)c1ccccc12,111.0
CHEMBL418813,CN(C)C1CCN(c2ccc3nc(O)c4ccccc4c3n2)CC1.CS(=O)(=O)O,112.0
CHEMBL107738,Oc1nc2ccccc2c2cccnc12,14000.0
CHEMBL541576,CN(C)CC(=O)Nc1cnc2c(c1)nc(O)c1ccccc12.Cl,165.0
CHEMBL45245,O=c1[nH]c2ccccc2c2ccccc12,350.0
CHEMBL108849,Oc1nc2ccccc2c2ccncc12,2600.0
CHEMBL105995,CN1CCN(c2ccc3nc(O)c4ccccc4c3n2)CC1,45.0
CHEMBL267373,NC(=O)c1ccccc1,20000.0
CHEMBL311091,Oc1nc2cnccc2c2ccccc12,169.0
CHEMBL558796,CC(C)N1CCN(CC(=O)Nc2cnc3c(c2)nc(O)c2ccccc23)CC1.Cl,86.0
CHEMBL48391,O=[N+]([O-])c1ccc2nc(O)c3ccccc3c2c1,350.0
CHEMBL339059,NC(=O)c1ccc(Br)cc1,2200000.0
CHEMBL419424,NC(=O)c1cccc(O)c1,9100.0
CHEMBL123617,NC(=O)c1ccc(O)cc1,280000.0
CHEMBL123572,Cc1cccc(C(N)=O)c1,19000.0
CHEMBL125596,NC(=O)c1ccc(F)cc1,200000.0
CHEMBL123205,CN(C)c1cccc(C(N)=O)c1,120000.0
CHEMBL338314,Oc1cccc2c(O)nccc12,390.0
CHEMBL123978,COc1cccc(C(N)=O)c1,17000.0
CHEMBL338567,NC(=O)c1cccc([N+](=O)[O-])c1,160000.0
CHEMBL121999,NC(=O)c1ccc(Cl)cc1,300000.0
CHEMBL266540,O=c1[nH]cnc2ccccc12,9500.0
CHEMBL332444,NC(=O)c1ccc(N)cc1,1800000.0
CHEMBL81977,NC(=O)c1cccc(N)c1,33000.0
CHEMBL339695,Oc1nccc2ccccc12,7000.0
CHEMBL125759,NC(=O)c1cccc(F)c1,20000.0
CHEMBL421646,O=c1[nH]c(=O)c2ccccc2[nH]1,8100.0
CHEMBL124815,O=C1NC(CCCl)Oc2ccccc21,8500.0
CHEMBL419245,NC(=O)c1cccc(Cl)c1,22000.0
CHEMBL339586,O=C1NC(=O)c2cccc3cccc1c23,1400.0
CHEMBL121765,Cc1nc2c(C(N)=O)cccc2[nH]1,1000.0
CHEMBL124706,Oc1nncc2ccccc12,12000.0
CHEMBL338790,Nc1ccc2c3c(cccc13)C(=O)NC2=O,180.0
CHEMBL122690,NC(=O)c1cccc(Br)c1,55000.0
CHEMBL395092,Cc1nc2ccccc2c(=O)[nH]1,5600.0
CHEMBL46137,O=S(=O)(O)c1ccc2c(c1)nc(O)c1cc(F)ccc12,10.0
CHEMBL46267,O=S(=O)([O-])c1ccc2c(c1)nc(O)c1cc(S(=O)(=O)[O-])ccc12.[Na+].[Na+],100000.0
CHEMBL296750,Cc1cccc2c(O)nc3cc(F)ccc3c12,92.0
CHEMBL45707,Cc1cccc2c(O)nc3cc(C(F)(F)F)c(N)cc3c12,44.0
CHEMBL297175,Cc1cc2nc(O)c3ccccc3c2cc1NC(=O)C[N+](C)(C)C.[Cl-],195.0
CHEMBL47840,Nc1ccc2c(c1)nc(O)c1cc(N)ccc12,3260.0
CHEMBL47283,Cc1cccc2c(O)nc3cc(C(F)(F)F)c(NC(=O)CCl)cc3c12,33.0
CHEMBL48138,O=C([O-])c1ccc2c(c1)nc(O)c1ccccc12.[Na+],57.0
CHEMBL45764,Nc1cc2nc(O)c3ccccc3c2cc1N,180.0
CHEMBL540525,Cl.O=S(=O)(NCCN1CCCCC1)c1ccc2nc(O)c3ccccc3c2c1,30.0
CHEMBL45904,O=[N+]([O-])c1cccc2c1nc(O)c1ccccc12,6100.0
CHEMBL44692,O=C(O)c1cccc2c(O)nc3ccccc3c12,60000.0
CHEMBL289198,C[N+](C)(C)CC(=O)Nc1ccc2nc(O)c3ccccc3c2c1.[Cl-],30.0
CHEMBL298450,Oc1nc2cc(Cl)ccc2c2ccc(Cl)cc12,240.0
CHEMBL294995,COC(=O)c1ccc2c(c1)nc(O)c1ccccc12,184.0
CHEMBL47508,O=C(NCCN1CCOCC1)c1ccc2c(c1)nc(O)c1cc(F)ccc12,14.0
CHEMBL298053,O=C([O-])c1ccc2c(c1)nc(O)c1cc(F)ccc12.[Na+],21.0
CHEMBL298064,Nc1cccc2c1nc(O)c1ccccc12,312.0
CHEMBL46196,COC(=O)c1ccc2c(c1)nc(O)c1cc(F)ccc12,37.0
CHEMBL45072,O=C(O)c1cccc2nc(O)c3ccccc3c12,2010.0
CHEMBL417002,CS(=O)(=O)O.O=S(=O)(NCCN1CCCCC1)c1ccc2nc(O)c3ccccc3c2c1,36.0
